Source Audio File,Start,End,Audio File Name,Expected Text,Transcribed Text,Similarity
"VO test -ENG.wav",00:00.100,00:01.619,"EN_016_software_developer.mp3","I work as a software developer.","I work as a software developer.",1,0000
"VO test -ENG.wav",00:02.500,00:04.040,"EN_015_water_request.mp3","Could I have a glass of water?","Could I have a glass of water?",1,0000
"VO test -ENG.wav",00:05.159,00:06.500,"EN_017_lovely_day.mp3","What a lovely day it is!","What a lovely day it is.",0,9708
"VO test -ENG.wav",00:07.380,00:08.559,"EN_020_thank_kindness.mp3","Thank you for your kindness.","Thank you for your kindness.",1,0000
"VO test -ENG.wav",00:09.619,00:11.520,"EN_005_reading_evening.mp3","She loves reading books in the evening.","She loves reading books in the evening.",1,0000
"VO test -ENG.wav",00:12.520,00:14.180,"EN_014_movie_interesting.mp3","The movie was really interesting.","The movie was really interesting.",1,0000
"VO test -ENG.wav",00:15.120,00:16.360,"EN_012_call_later.mp3","I'll call you later today.","I'll call you later today.",1,0000
"VO test -ENG.wav",00:17.380,00:18.779,"EN_009_walk_together.mp3","Let's go for a walk together.","Let's go for a walk together.",1,0000
"VO test -ENG.wav",00:19.820,00:21.340,"EN_001_greeting_morning.mp3","Good morning! How did you sleep?","Good morning, how did you sleep?",0,9781
"VO test -ENG.wav",00:22.300,00:23.680,"EN_010_soup_delicious.mp3","This soup tastes delicious!","This soup tastes delicious.",0,9741
"VO test -ENG.wav",00:24.820,00:26.020,"EN_011_pharmacy_location.mp3","Where is the nearest pharmacy?","Where's the nearest pharmacy?",0,8333
"VO test -ENG.wav",00:26.940,00:28.460,"EN_003_shopping_groceries.mp3","I need to buy some groceries.","I need to buy some groceries.",1,0000
"VO test -ENG.wav",00:29.380,00:31.220,"EN_007_train_arrival.mp3","The train arrives at 3 PM.","The train arrives at 3pm.",0,8731
"VO test -ENG.wav",00:32.060,00:33.940,"EN_018_wait_station.mp3","Please wait for me at the station.","Please wait for me at the station.",1,0000
"VO test -ENG.wav",00:34.660,00:36.260,"EN_019_favorite_color_blue.mp3","My favorite color is blue.","My favorite color is blue.",1,0000
"VO test -ENG.wav",00:37.440,00:38.720,"EN_006_help_task.mp3","Can you help me with this task?","Can you help me with this task?",1,0000
"VO test -ENG.wav",00:39.680,00:41.200,"EN_008_learning_polish.mp3","I'm learning Polish language.","I'm learning Polish language.",1,0000
"VO test -ENG.wav",00:41.940,00:43.640,"EN_002_weather_sunny.mp3","The weather is beautiful today.","The weather is beautiful today.",1,0000
"VO test -ENG.wav",00:44.660,00:46.040,"EN_015_water_request.mp3","Could I have a glass of water?","Could I have a glass of water?",1,0000
"VO test -ENG.wav",00:47.000,00:48.260,"EN_017_lovely_day.mp3","What a lovely day it is!","What a lovely day it is.",0,9708
"VO test -ENG.wav",00:49.060,00:50.780,"EN_016_software_developer.mp3","I work as a software developer.","I work as a software developer.",1,0000
"VO test -ENG.wav",00:51.660,00:53.080,"EN_020_thank_kindness.mp3","Thank you for your kindness.","Thank you for your kindness.",1,0000
"VO test -ENG.wav",00:54.080,00:56.200,"EN_013_birthday_wishes.mp3","Happy birthday! Wishing you all the best.","Happy birthday, wishing you all the best.",0,9829
"VO test -ENG.wav",00:57.140,00:59.260,"EN_005_reading_evening.mp3","She loves reading books in the evening.","She loves reading books in the evening.",1,0000
"VO test -ENG.wav",01:00.100,01:01.620,"EN_014_movie_interesting.mp3","The movie was really interesting.","The movie was really interesting.",1,0000
"VO test -ENG.wav",01:02.560,01:03.680,"EN_004_meeting_time.mp3","What time is the meeting?","What time is the meeting?",1,0000
"VO test -ENG.wav",01:04.399,01:05.880,"EN_012_call_later.mp3","I'll call you later today.","I'll call you later today.",1,0000
